Sample Name,Group,Assay,Target Name,Reporter,AverageCT,GAPDH,dCT,AverageControl,ddCT
5-P3,PBS,P1A5,GAPDH,SYBR,18.31100019,18.31100019,0,0,0
5-P4,PBS,P1A5,GAPDH,SYBR,19.00133387,19.00133387,0,0,0
5-P5,PBS,P1A5,GAPDH,SYBR,18.71350002,18.71350002,0,0,0
5-V1,CRA,P1A5,GAPDH,SYBR,19.10066732,19.10066732,0,0,0
5-V2,CRA,P1A5,GAPDH,SYBR,20.07600021,20.07600021,0,0,0
5-V3,CRA,P1A5,GAPDH,SYBR,20.1983331,20.1983331,0,0,0
5-V4,CRA,P1A5,GAPDH,SYBR,21.77133306,21.77133306,0,0,0
5-V5,CRA,P1A5,GAPDH,SYBR,19.12466685,19.12466685,0,0,0
5-D1,DiHOME,P1A5,IL1a,SYBR,27.58133316,20.54866727,7.032665888,7.04843324,-0.015767352
5-D2,DiHOME,P1A5,IL1a,SYBR,27.63133303,20.65933291,6.972000122,7.04843324,-0.076433118
5-D4,DiHOME,P1A5,IL1a,SYBR,26.8305006,19.86866633,6.961834272,7.04843324,-0.086598969
5-P1,PBS,P1A5,IL1a,SYBR,25.9773337,19.06200027,6.91533343,7.04843324,-0.13309981
5-P2,PBS,P1A5,IL1a,SYBR,25.66166687,18.96766663,6.694000244,7.04843324,-0.354432996
5-P3,PBS,P1A5,IL1a,SYBR,26.38566653,18.31100019,8.074666341,7.04843324,1.026233101
5-P4,PBS,P1A5,IL1a,SYBR,25.88033358,19.00133387,6.87899971,7.04843324,-0.16943353
5-P5,PBS,P1A5,IL1a,SYBR,25.3926665,18.71350002,6.679166476,7.04843324,-0.369266764
5-V1,CRA,P1A5,IL1a,SYBR,25.22033374,19.10066732,6.119666417,7.04843324,-0.928766823
5-V2,CRA,P1A5,IL1a,SYBR,26.46233368,20.07600021,6.386333466,7.04843324,-0.662099775
5-V3,CRA,P1A5,IL1a,SYBR,27.08733304,20.1983331,6.888999939,7.04843324,-0.159433301
5-V4,CRA,P1A5,IL1a,SYBR,29.4175005,21.77133306,7.646167437,7.04843324,0.597734197
5-V5,CRA,P1A5,IL1a,SYBR,25.7404995,19.12466685,6.615832647,7.04843324,-0.432600594
5-D1,DiHOME,P1A5,IL1b,SYBR,25.90833282,20.54866727,5.359665553,7.253633181,-1.893967628
5-D2,DiHOME,P1A5,IL1b,SYBR,25.76566696,20.65933291,5.10633405,7.253633181,-2.147299131
5-D4,DiHOME,P1A5,IL1b,SYBR,25.68699964,19.86866633,5.818333308,7.253633181,-1.435299873
5-P1,PBS,P1A5,IL1b,SYBR,26.0606664,19.06200027,6.998666128,7.253633181,-0.254967054
5-P2,PBS,P1A5,IL1b,SYBR,26.15299988,18.96766663,7.185333252,7.253633181,-0.068299929
5-P3,PBS,P1A5,IL1b,SYBR,27.28566742,18.31100019,8.974667231,7.253633181,1.72103405
5-P4,PBS,P1A5,IL1b,SYBR,26.17633375,19.00133387,7.174999873,7.253633181,-0.078633308
5-P5,PBS,P1A5,IL1b,SYBR,24.64799945,18.71350002,5.934499423,7.253633181,-1.319133759
5-V1,CRA,P1A5,IL1b,SYBR,24.43366687,19.10066732,5.332999547,7.253633181,-1.920633634
5-V2,CRA,P1A5,IL1b,SYBR,25.13966688,20.07600021,5.063666662,7.253633181,-2.18996652
5-V3,CRA,P1A5,IL1b,SYBR,26.20899963,20.1983331,6.010666529,7.253633181,-1.242966652
5-V4,CRA,P1A5,IL1b,SYBR,27.76366615,21.77133306,5.992333094,7.253633181,-1.261300087
5-V5,CRA,P1A5,IL1b,SYBR,24.64866702,19.12466685,5.524000168,7.253633181,-1.729633013
5-D1,DiHOME,P1A5,TNF,SYBR,30.30266698,20.54866727,9.75399971,10.7144331,-0.960433388
5-D2,DiHOME,P1A5,TNF,SYBR,30.55500031,20.65933291,9.895667394,10.7144331,-0.818765704
5-D4,DiHOME,P1A5,TNF,SYBR,29.50066694,19.86866633,9.632000605,10.7144331,-1.082432493
5-P1,PBS,P1A5,TNF,SYBR,29.02066676,19.06200027,9.958666484,10.7144331,-0.755766614
5-P2,PBS,P1A5,TNF,SYBR,29.53966649,18.96766663,10.57199987,10.7144331,-0.14243323
5-P3,PBS,P1A5,TNF,SYBR,29.52666664,18.31100019,11.21566645,10.7144331,0.501233355
5-P4,PBS,P1A5,TNF,SYBR,29.47866631,19.00133387,10.47733243,10.7144331,-0.237100665
5-P5,PBS,P1A5,TNF,SYBR,30.06200027,18.71350002,11.34850025,10.7144331,0.634067154
5-V1,CRA,P1A5,TNF,SYBR,28.59199969,19.10066732,9.491332372,10.7144331,-1.223100726
5-V2,CRA,P1A5,TNF,SYBR,29.70566622,20.07600021,9.629666011,10.7144331,-1.084767087
5-V3,CRA,P1A5,TNF,SYBR,30.28399976,20.1983331,10.08566666,10.7144331,-0.628766441
5-V4,CRA,P1A5,TNF,SYBR,31.99666723,21.77133306,10.22533417,10.7144331,-0.48909893
5-V5,CRA,P1A5,TNF,SYBR,29.07166672,19.12466685,9.946999868,10.7144331,-0.76743323
4-V2,CRA,P1A4,CCL11,SYBR,26.36200015,22.76366615,3.598333995,4.327933375,-0.72959938
4-V3,CRA,P1A4,CCL11,SYBR,24.06300036,21.13099988,2.932000478,4.327933375,-1.395932897
4-V4,CRA,P1A4,CCL11,SYBR,25.13933309,24.18699964,0.95233345,4.327933375,-3.375599925
4-V5,CRA,P1A4,CCL11,SYBR,24.91633352,24.60733287,0.309000651,4.327933375,-4.018932724
4-D1,DiHOME,P1A4,CCL11,SYBR,22.89499982,23.27066676,-0.375666936,4.327933375,-4.703600311
4-D2,DiHOME,P1A4,CCL11,SYBR,26.34633382,22.67266591,3.673667908,4.327933375,-0.654265467
4-D3,DiHOME,P1A4,CCL11,SYBR,23.8490003,23.15299988,0.696000417,4.327933375,-3.631932958
4-D4,DiHOME,P1A4,CCL11,SYBR,25.35533333,25.01166662,0.343666712,4.327933375,-3.984266663
4-D5,DiHOME,P1A4,CCL11,SYBR,23.49866676,22.12299983,1.375666936,4.327933375,-2.952266439
4-P1,PBS,P1A4,CCL11,SYBR,23.31499926,21.58366648,1.731332779,4.327933375,-2.596600596
4-P2,PBS,P1A4,CCL11,SYBR,30.90333303,23.66899999,7.234333038,4.327933375,2.906399663
4-P3,PBS,P1A4,CCL11,SYBR,24.31533305,23.23666636,1.078666687,4.327933375,-3.249266688
4-P4,PBS,P1A4,CCL11,SYBR,29.18633334,22.56699944,6.619333903,4.327933375,2.291400528
4-P5,PBS,P1A4,CCL11,SYBR,26.45466741,21.47866694,4.976000468,4.327933375,0.648067093
4-V2,CRA,P1A4,Muc5ac,SYBR,28.70999972,22.76366615,5.946333567,7.342933528,-1.39659996
4-V3,CRA,P1A4,Muc5ac,SYBR,26.26466688,21.13099988,5.133666992,7.342933528,-2.209266535
4-V4,CRA,P1A4,Muc5ac,SYBR,30.94333331,24.18699964,6.756333669,7.342933528,-0.586599859
4-V5,CRA,P1A4,Muc5ac,SYBR,28.95166651,24.60733287,4.344333649,7.342933528,-2.998599879
4-D1,DiHOME,P1A4,Muc5ac,SYBR,27.97666677,23.27066676,4.70600001,7.342933528,-2.636933517
4-D2,DiHOME,P1A4,Muc5ac,SYBR,29.56166649,22.67266591,6.889000575,7.342933528,-0.453932953
