Assay,Sample.Type,Group,Sample.Name,DiHOMEng.uL.2
P2A1,Control,P-C,P C5,64.73853437
P2A1,Control,P-C,P C6,45.57700298
P2A1,Control,P-C,P C7,10.45001295
P2A1,DiHOME,P-D,P D5,108.0582635
P2A1,DiHOME,P-D,P D6,694.3842035
P2A1,DiHOME,P-D,P D7,104.8824704
P2A2,Control,P-C,P C1,106.2126018
P2A2,Control,P-C,P C2,53.38857795
P2A2,Control,P-C,P C3,131.990742
P2A2,Control,P-C,P C4,24.82177641
P2A2,DiHOME,P-D,P D1,672.6790858
P2A2,DiHOME,P-D,P D2,2029.58331
P2A2,DiHOME,P-D,P D3,642.688892
