"Well","Group","Chem","Dose","Treatment","Fluorescence","Flum","Rlum","Background.Fluor","Background.Flum","Background.Rlum","CorrFluor","CorrFlum","CorrRlum","ExperimentalR","PositiveR","NegativeR","RRR","Flum.Live","FLumLive.R","Flum.R","Ratio.NoTF","FlumL.NoTF","Assay"
"C6","Test","DiHOME",50,"50 uM DiHOME",19729,5263,2533,90,645.4,690.2,19639,4617.6,1842.8,0.235123988,0.463272796,0.004699895,0.502480832,0.266764661,0.319809404,2.077773391,2.103244771,16.2234251,"16"
"C5","Test","DiHOME",100,"100 uM DiHOME",9101,926,1406,90,645.4,690.2,9011,280.6,715.8,0.031139718,0.463272796,0.004699895,0.05765675,0.101747061,0.121978926,0.658605974,0.666679811,6.187797934,"16"
"D5","Test","DiHOME",100,"100 uM DiHOME",9540,1417,855,90,645.4,690.2,9450,771.6,164.8,0.081650794,0.463272796,0.004699895,0.16780516,0.148532495,0.178067397,1.657309942,1.677626869,9.033077293,"16"
"B5","Test","DiHOME",100,"100 uM DiHOME",11690,4496,790,90,645.4,690.2,11600,3850.6,99.8,0.331948276,0.463272796,0.004699895,0.713623461,0.384602224,0.461078344,5.691139241,5.760906796,23.3897749,"16"
"C4","Test","DiHOME",150,"150 uM DiHOME",8630,1877,1417,90,645.4,690.2,8540,1231.6,726.8,0.144215457,0.463272796,0.004699895,0.304238566,0.217497103,0.260745253,1.324629499,1.340868104,13.22719414,"16"
"D4","Test","DiHOME",150,"150 uM DiHOME",7786,2883,735,90,645.4,690.2,7696,2237.6,44.8,0.290748441,0.463272796,0.004699895,0.623779873,0.37027999,0.443908209,3.92244898,3.970534199,22.51876112,"16"
"B4","Test","DiHOME",150,"150 uM DiHOME",8916,4359,959,90,645.4,690.2,8826,3713.6,268.8,0.420756855,0.463272796,0.004699895,0.907286407,0.488896366,0.586110825,4.54535975,4.601081219,29.73247484,"16"
"B3","Test","DiHOME",200,"200 uM  DiHOME",8499,1388,1008,90,645.4,690.2,8409,742.6,317.8,0.088310144,0.463272796,0.004699895,0.18232706,0.163313331,0.195787324,1.376984127,1.393864546,9.931981175,"16"
"C3","Test","DiHOME",200,"200 uM  DiHOME",8197,1708,959,90,645.4,690.2,8107,1062.6,268.8,0.131071913,0.463272796,0.004699895,0.275576725,0.208368915,0.249801973,1.781021898,1.802855408,12.67205888,"16"
"D3","Test","DiHOME",200,"200 uM  DiHOME",6798,3067,1903,90,645.4,690.2,6708,2421.6,1212.8,0.361001789,0.463272796,0.004699895,0.776979828,0.451162107,0.540873308,1.611665791,1.631423168,27.43764714,"16"
"C10","Test","GW1929",0.001,"0.001 uM 1929",28025,788,2179,90,645.4,690.2,27935,142.6,1488.8,0.005104707,0.463272796,0.004699895,0.000882766,0.028117752,0.033708818,0.361633777,0.366067038,1.709995026,"16"
"B10","Test","GW1929",0.001,"0.001 uM 1929",26408,1060,2629,90,645.4,690.2,26318,414.6,1938.8,0.015753477,0.463272796,0.004699895,0.024104307,0.040139352,0.04812085,0.403195131,0.408137892,2.441094571,"16"
"D10","Test","GW1929",0.001,"0.001 uM 1929",34810,2479,2791,90,645.4,690.2,34720,1833.6,2100.8,0.05281106,0.463272796,0.004699895,0.104914976,0.071215168,0.085375928,0.88821211,0.899100684,4.330985745,"16"
"D9","Test","GW1929",0.01,"0.01 uM 1929",28372,1234,5498,90,645.4,690.2,28282,588.6,4807.8,0.020811824,0.463272796,0.004699895,0.035134935,0.043493585,0.052142055,0.224445253,0.227196722,2.645083944,"16"
"C9","Test","GW1929",0.01,"0.01 uM 1929",27602,1603,3530,90,645.4,690.2,27512,957.6,2839.8,0.03480663,0.463272796,0.004699895,0.065653105,0.058075502,0.069623509,0.454107649,0.459674545,3.531890427,"16"
"B9","Test","GW1929",0.01,"0.01 uM 1929",21341,2444,3072,90,645.4,690.2,21251,1798.6,2381.8,0.084636017,0.463272796,0.004699895,0.174314972,0.114521344,0.137293308,0.795572917,0.805325828,6.964672295,"16"
