Assay,Donor,Treatment,Well,Well.Position,Sample.Name,Replicate,Target.Name,Reporter,CT,CT2,CT3,AverageCT,GAPDH,dCT,Average.Control,ddCT
P3D2,D18,Vehicle,34,B10,U1-2,R1,FABP4,SYBR,25.79299927,33.72299957,32.87200165,30.79600016,NA,6.303000768,NA,-1.340887705
P3D2,D18,Vehicle,58,C10,U1-3,R1,FABP4,SYBR,25.84799957,40,33.81399918,33.22066625,NA,9.141998927,NA,1.498110453
DL-C,D25,Vehicle,,,,,CD1a,,,,,,,6.484340668,6.449861738,0.034478929
DL-C,D25,Vehicle,,,,,CD1a,,,,,,,6.444068273,6.449861738,-0.005793466
DL-C,D25,Vehicle,,,,,CD1a,,,,,,,6.421176275,6.449861738,-0.028685464
DL-C,D25,DiHOME,,,,,CD1a,,,,,,,15.58583196,6.449861738,9.135970222
DL-C,D25,DiHOME,,,,,CD1a,,,,,,,11.89595922,6.449861738,5.44609748
DL-C,D25,DiHOME,,,,,CD1a,,,,,,,13.49081421,6.449861738,7.040952471
DL-D,D26,Vehicle,,,,,CD1a,,,,,,,7.521800359,7.483285904,0.038514455
DL-D,D26,Vehicle,,,,,CD1a,,,,,,,7.536966324,7.483285904,0.05368042
DL-D,D26,Vehicle,,,,,CD1a,,,,,,,7.391091029,7.483285904,-0.092194875
DL-D,D26,DiHOME,,,,,CD1a,,,,,,,14.97774315,7.483285904,7.494457245
DL-D,D26,DiHOME,,,,,CD1a,,,,,,,15.46774864,7.483285904,7.984462738
DL-D,D26,DiHOME,,,,,CD1a,,,,,,,12.85840797,7.483285904,5.37512207
DL-C,D25,Vehicle,,,,,CD36,,,,,,,7.161146164,7.058864382,0.102281782
DL-C,D25,Vehicle,,,,,CD36,,,,,,,6.961280187,7.058864382,-0.097584195
DL-C,D25,Vehicle,,,,,CD36,,,,,,,7.054166794,7.058864382,-0.004697588
DL-C,D25,DiHOME,,,,,CD36,,,,,,,8.319448471,7.058864382,1.260584089
DL-C,D25,DiHOME,,,,,CD36,,,,,,,8.464382172,7.058864382,1.40551779
DL-C,D25,DiHOME,,,,,CD36,,,,,,,8.309096654,7.058864382,1.250232273
DL-D,D26,Vehicle,,,,,CD36,,,,,,,6.779729207,6.738297145,0.041432063
DL-D,D26,Vehicle,,,,,CD36,,,,,,,6.662073135,6.738297145,-0.076224009
DL-D,D26,Vehicle,,,,,CD36,,,,,,,6.773089091,6.738297145,0.034791946
DL-D,D26,DiHOME,,,,,CD36,,,,,,,10.50233332,6.738297145,3.764036179
DL-D,D26,DiHOME,,,,,CD36,,,,,,,8.869153976,6.738297145,2.130856832
DL-D,D26,DiHOME,,,,,CD36,,,,,,,8.86375618,6.738297145,2.125459035
DL-C,D25,Vehicle,,,,,FABP4,,,,,,,12.60349464,12.97899373,-0.37549909
DL-C,D25,Vehicle,,,,,FABP4,,,,,,,13.41930262,12.97899373,0.44030889
DL-C,D25,Vehicle,,,,,FABP4,,,,,,,12.91418393,12.97899373,-0.0648098
DL-C,D25,DiHOME,,,,,FABP4,,,,,,,8.219139099,12.97899373,-4.759854631
DL-C,D25,DiHOME,,,,,FABP4,,,,,,,8.70235761,12.97899373,-4.27663612
DL-C,D25,DiHOME,,,,,FABP4,,,,,,,8.640867869,12.97899373,-4.338125861
DL-D,D26,Vehicle,,,,,FABP4,,,,,,,12.38657633,11.90190909,0.48466724
DL-D,D26,Vehicle,,,,,FABP4,,,,,,,12.04127375,11.90190909,0.13936466
DL-D,D26,Vehicle,,,,,FABP4,,,,,,,11.27787717,11.90190909,-0.62403192
DL-D,D26,DiHOME,,,,,FABP4,,,,,,,9.030164083,11.90190909,-2.871745007
DL-D,D26,DiHOME,,,,,FABP4,,,,,,,10.08157412,11.90190909,-1.82033497
DL-D,D26,DiHOME,,,,,FABP4,,,,,,,7.939123789,11.90190909,-3.962785301
DL-C,D25,Vehicle,,,,,HADH,,,,,,,7.522699356,7.639513228,-0.116813872
DL-C,D25,Vehicle,,,,,HADH,,,,,,,7.811184565,7.639513228,0.171671337
DL-C,D25,Vehicle,,,,,HADH,,,,,,,7.584655762,7.639513228,-0.054857466
DL-C,D25,DiHOME,,,,,HADH,,,,,,,6.446125031,7.639513228,-1.193388197
DL-C,D25,DiHOME,,,,,HADH,,,,,,,6.52225558,7.639513228,-1.117257648
DL-C,D25,DiHOME,,,,,HADH,,,,,,,6.539235433,7.639513228,-1.100277795
DL-D,D26,Vehicle,,,,,HADH,,,,,,,7.7690684,7.801124361,-0.032055961
DL-D,D26,Vehicle,,,,,HADH,,,,,,,7.857950846,7.801124361,0.056826485
DL-D,D26,Vehicle,,,,,HADH,,,,,,,7.776353836,7.801124361,-0.024770525
DL-D,D26,DiHOME,,,,,HADH,,,,,,,6.650787354,7.801124361,-1.150337007
DL-D,D26,DiHOME,,,,,HADH,,,,,,,6.833566666,7.801124361,-0.967557695
DL-D,D26,DiHOME,,,,,HADH,,,,,,,6.886000951,7.801124361,-0.91512341
